1,82,,,,,,,,,,,
2,152,,,,,,,,,,,
3,377,,,,,,,,,,,
4,366,,,,,,,,,,,
5,281,,,,,,,,,,,
6,239,,,,,,,,,,,
7,352,,,,,,,,,,,
8,279,,,,,,,,,,,
9,295,,,,,,,,,,,
10,384,,,,,,,,,,,
11,439,,,,,,,,,,,
12,1912,,,,,,,,,,,
13,105,,,,,,,,,,,
14,131,,,,,,,,,,,
15,159,,,,,,,,,,,
16,368,,,,,,,,,,,
17,680,,,,,,,,,,,
18,554,,,,,,,,,,,
19,489,,,,,,,,,,,
20,604,,,,,,,,,,,
21,481,,,,,,,,,,,
22,639,,,,,,,,,,,
23,858,,,,,,,,,,,
24,2188,,,,,,,,,,,
25,276,,,,,,,,,,,
26,212,,,,,,,,,,,
27,479,,,,,,,,,,,
28,294,,,,,,,,,,,
29,572,,,,,,,,,,,
30,435,,,,,,,,,,,
31,353,,,,,,,,,,,
32,466,,,,,,,,,,,
33,531,,,,,,,,,,,
34,364,,,,,,,,,,,
35,442,,,,,,,,,,,
36,425,,,,,,,,,,,
37,260,,,,,,,,,,,
38,320,,,,,,,,,,,
39,709,,,,,,,,,,,
40,494,,,,,,,,,,,
41,579,,,,,,,,,,,
42,773,,,,,,,,,,,
43,177,,,,,,,,,,,
44,320,,,,,,,,,,,
45,432,,,,,,,,,,,
46,733,,,,,,,,,,,
47,576,,,,,,,,,,,
48,1356,,,,,,,,,,,
49,269,,,,,,,,,,,
50,308,,,,,,,,,,,
51,505,,,,,,,,,,,
52,460,,,,,,,,,,,
53,617,,,,,,,,,,,
54,453,,,,,,,,,,,
55,786,,,,,,,,,,,
56,1219,,,,,,,,,,,
57,890,,,,,,,,,,,
58,955,,,,,,,,,,,
59,1527,,,,,,,,,,,
60,4045,,,,,,,,,,,
61,646,,,,,,,,,,,
62,797,,,,,,,,,,,
63,1094,,,,,,,,,,,
64,1386,,,,,,,,,,,
65,1136,,,,,,,,,,,
66,2046,,,,,,,,,,,
67,645,,,,,,,,,,,
68,811,,,,,,,,,,,
69,803,,,,,,,,,,,
70,1537,,,,,,,,,,,
71,1419,,,,,,,,,,,
72,2698,,,,,,,,,,,
